Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Afghanistan,AFG,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,40353040,56107246.5,190774431.98,52173421,56823660,48311346,42975262.5,169146608,93589442.8,53390000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Albania,ALB,41200000,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1253058935.64486,1344156094.8725,1090111754.87848,1048087029.34916,918313370.724312,1254274472.0354,1149536244.4423,989278987.84631,1044187597.47462,1022132156.86043,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Algeria,DZA,291600000,280100000,1113105541,1065000000,637881239,881851385,1155999999.99995,1841000000.00008,1686736539.70385,2638607033.75183,2746930734.16534,2300369124.15828,2571237024.68517,1500402452.8635,1691886707.50796,1502206170.55838,-537792920.921856,1638263953.77737,1200965279.93224,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Angola,AGO,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-6897954558.89544,-7120017424.4614,1921699719.14449,9282167512.38257,-179517618.92,-7397295409.18991,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Antigua and Barbuda,ATG,51792533.3333333,43115925.9259259,98452222.2222222,65865064.8148148,166321143.703704,80366585.1851852,220963374.074074,358820163.703704,338204733.333333,158783774.444444,80646652.5925926,96679207.7777778,65160596.2962963,129367138.888889,134288999.62963,46061586.8270648,107460503.54774,80641321.8328381,112936813.233046,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Argentina,ARG,23987696389.6428,10418314339.1428,2166136829.76399,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Armenia,ARM,122040000,104188500,69868500,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,403898410.357675,178295867.11618,338115182.302507,249759360.695566,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Aruba,ABW,463016759.776537,-127932960.893854,-266927374.301677,332513966.480447,159776536.312849,-105698324.022346,-207798005.868163,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430168,226371388.826816,250618094.972067,-28775856.424581,20982174.301676,87653631.2849162,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Australia,AUS,3311038586.09037,14892978180.1828,10717133150.6924,14656321800.5386,8985246029.5004,42907672820.3756,-25093141435.1896,30551100656.5983,44440090037.7723,45160024270.9395,28683266147.8801,35210733743.0829,65554890649.5348,57550426822.6138,53997299139.8889,63195482811.6136,45051418215.3716,39225714066.7271,42579724525.1796,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Austria,AUT,3008319638.96604,8525406379.1313,5905880644.78423,318132393.328332,7098252089.87043,3892054627.31739,81287916302.2176,10497447195.5608,68885359636.3474,6310797391.27563,14293213431.1855,-22005597160.6968,22974390292.5696,5219630177.4195,451322440.339745,1712374349.00631,-7972751912.9417,-28872607730.7536,15608009061.4137,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Azerbaijan,AZE,510317000,129937000,819579000,2024577000,4007330000,4719107000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000,5293250000,2619437000,4430466000,4047630000,4499666000,2867487000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Bahamas, The",BHS,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197.03,663960000,871970000,666621000,526171000,382252000,251277428.82,76075924.75,73723568.41,594994763.784,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bahrain,BHR,453737837.974614,363562321.906708,80358858.3697633,216986881.649309,516700276.442676,865308118.622994,1048601306.14142,2914659868.30075,1756312514.78198,1793998354.54447,257149561.420298,155771009.169721,780851063.829787,1544680851.06383,3727712765.95745,1518617021.2766,64893617.0212766,243351063.829787,518882978.723404,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Bangladesh,BGD,179662970.340192,280384629.677983,78527040.0772574,52304931.038967,268285231.831689,448905400.707685,760504265.755651,456523167.703824,651029738.054822,1328422986.51751,901286583.13086,1232258246.59254,1264725163.33408,1584403459.98466,2602962095.36816,2539190939.6837,2831152765.15515,2332724780.71108,2151370680.49902,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Barbados,BRB,17350000,19400000,18550000,17400000,58250000,-12100000,238261395.8643,342244377.215,451704576.96,462037883.775,458155604.11,668827625.285,387635239.865,437173278.311957,-8083630.0259665,559340870.412356,69489165.7721804,229642052.046338,286157362.743625,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belarus,BLR,444000000,118800000,95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000,1652300000,1246900000,1276300000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belgium,BEL,..,..,..,18080576795.9181,34543942055.3342,44415185590.2333,33683830158.1204,58827696332.8344,96587921127.4395,190542715162.038,86527976138.6549,111490238331.287,158028565815.979,6683318618.52527,-28375208909.4075,-23931110654.8989,-24266120892.832,44455928909.2834,-39482279939.4883,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Belize,BLZ,53579000,29564651.9166666,61174888.8668778,25461176.8782397,-10924755.7533455,111496166.355423,126908465.922063,108828544.570357,140373737.268583,169668449.489583,108840086.423874,96449877.0838033,95348525.1917313,194201408.788436,92247730.9426541,141097030.34391,59119223.8981489,32733410.9928006,25637115.5013862,..
